supermarket_id;supplier_id;delivery_date;amount;name;opening_date;supplier_name;supplier_type;department_id;department_info
9;71;2029-01-06;843,59;SuperNorte;2022-10-26;Lacteos do Vale;dairy;23,0;congelados
327;294;2026-07-06;6448,32;SuperNorte;2023-06-01;Congelados Norte;frozen goods;94,0;padaria
481;261;2026-03-08;4000,0;FreshMart Gaia;2023-11-19;Lacteos do Vale;dairy;166,0;padaria
171;375;2035-09-29;515,43;SuperNorte;2025-12-02;Higiene Plus;cleaning products;13,0;padaria
7;825;2028-02-07;723,44;FreshMart Gaia;2023-07-14;Higiene Plus;cleaning products;;bebidas
221;185;2030-06-01;1482,53;Nova Compra;2022-05-20;Higiene Plus;cleaning products;;congelados
201;806;2031-12-14;991,73;SuperNorte;2024-04-10;Padaria Industrial;bakery supplies;;peixaria
180;224;2025-04-19;3574,18;BomPreco;2023-10-07;Congelados Norte;frozen goods;;laticinios
53;418;2026-01-21;2973,9;Nova Compra;2022-04-27;Peixe Fresco Iberico;seafood;;mercearia
380;496;2025-12-18;1156,68;Mercado Central;2022-09-25;Padaria Industrial;bakery supplies;;bebidas
338;253;2024-08-25;5590,88;Mercado Central;2023-02-16;Bebidas Lusas;beverages;;fruta e legumes
171;219;2030-07-12;3000,0;SuperNorte;2025-12-02;SnackHouse Distribuicao;snacks;13,0;padaria
117;451;2025-09-20;3871,91;SuperNorte;2025-08-17;Lacteos do Vale;dairy;;peixaria
225;701;2030-03-03;1198,47;SuperNorte;2025-06-18;Lacteos do Vale;dairy;97,0;higiene
405;593;2030-11-23;3729,99;SuperNorte;2023-01-07;Bebidas Lusas;beverages;22,0;padaria
124;689;2024-01-24;2153,75;Atlantico Market;2022-03-28;SnackHouse Distribuicao;snacks;;mercearia
196;464;2026-11-14;3154,71;Atlantico Market;2025-12-17;Congelados Norte;frozen goods;4,0;padaria
196;464;2031-06-14;6108,13;Atlantico Market;2025-12-17;Congelados Norte;frozen goods;159,0;bebidas
72;374;2026-11-05;5901,08;BomPreco;2021-04-11;Congelados Norte;frozen goods;;laticinios
436;917;2029-11-16;9423,54;Atlantico Market;2023-12-11;Carnes Selectas;meat;189,0;laticinios
269;456;2031-01-09;1434,78;Nova Compra;2023-10-19;Padaria Industrial;bakery supplies;;padaria
154;613;2032-06-13;4263,42;Atlantico Market;2025-10-16;Bebidas Lusas;beverages;184,0;padaria
70;121;2024-09-30;1613,49;Atlantico Market;2021-12-25;Lacteos do Vale;dairy;;fruta e legumes
114;44;2025-04-19;2403,03;BomPreco;2025-03-11;Congelados Norte;frozen goods;;peixaria
496;23;2025-11-03;4138,42;Atlantico Market;2025-03-17;Bebidas Lusas;beverages;;bebidas
496;447;2027-11-25;4502,68;Atlantico Market;2025-03-17;Carnes Selectas;meat;;bebidas
28;81;2023-04-16;1872,42;Atlantico Market;2023-02-26;Lacteos do Vale;dairy;;laticinios
121;297;2026-11-22;8945,98;FreshMart Gaia;2022-03-07;Carnes Selectas;meat;;mercearia
204;401;2022-11-06;3980,8;BomPreco;2021-04-02;Lacteos do Vale;dairy;;congelados
416;594;2024-07-26;2466,25;Mercado Central;2021-10-24;Congelados Norte;frozen goods;;peixaria
444;175;2029-01-18;1250,77;BomPreco;2025-11-27;Higiene Plus;cleaning products;164,0;peixaria
277;828;2028-01-28;5348,73;FreshMart Gaia;2026-02-03;Peixe Fresco Iberico;seafood;;congelados
201;247;2025-06-15;6222,1;SuperNorte;2024-04-10;Carnes Selectas;meat;;bebidas
73;249;2027-05-10;595,09;FreshMart Gaia;2025-01-05;SnackHouse Distribuicao;snacks;61,0;higiene
255;553;2027-05-27;1943,28;SuperNorte;2024-01-22;Bebidas Lusas;beverages;129,0;mercearia
103;20;2025-10-16;1754,73;FreshMart Gaia;2022-12-24;Casa Verde Horticolas;produce;;fruta e legumes
420;442;2024-05-15;2635,14;BomPreco;2021-05-15;Frutaria Atlantica;produce;;mercearia
18;782;2027-12-20;1913,75;BomPreco;2025-02-11;Frutaria Atlantica;produce;;congelados
267;126;2027-03-30;1352,8;SuperNorte;2025-12-26;Padaria Industrial;bakery supplies;;talho
28;309;2025-07-17;1803,2;Atlantico Market;2023-02-26;SnackHouse Distribuicao;snacks;;bebidas
458;189;2029-01-08;2930,3;Mercado Central;2024-04-06;SnackHouse Distribuicao;snacks;169,0;higiene
279;463;2022-12-09;7000,0;SuperNorte;2022-10-07;Bebidas Lusas;beverages;;fruta e legumes
216;574;2029-08-04;3053,86;BomPreco;2025-09-23;Congelados Norte;frozen goods;;higiene
248;236;2025-06-07;1488,31;Mercado Central;2025-02-23;Padaria Industrial;bakery supplies;8,0;fruta e legumes
61;326;2022-06-22;1256,91;FreshMart Gaia;2021-12-07;Padaria Industrial;bakery supplies;;higiene
414;458;2033-01-08;12000,0;BomPreco;2025-05-11;Peixe Fresco Iberico;seafood;;laticinios
160;261;2030-02-06;1501,47;Atlantico Market;2024-12-25;Lacteos do Vale;dairy;;fruta e legumes
163;202;2024-12-28;1755,33;FreshMart Gaia;2021-05-29;Frutaria Atlantica;produce;;peixaria
117;322;2030-07-07;1162,6;SuperNorte;2025-08-17;Frutaria Atlantica;produce;;higiene
199;152;2026-02-16;1194,07;FreshMart Gaia;2022-06-22;Frutaria Atlantica;produce;;higiene
168;982;2031-09-04;2200,51;BomPreco;2024-01-25;Frutaria Atlantica;produce;;mercearia
371;420;2027-10-05;2029,28;Nova Compra;2022-09-12;Casa Verde Horticolas;produce;;talho
367;183;2025-05-13;4784,63;FreshMart Gaia;2022-02-26;Bebidas Lusas;beverages;;congelados
405;266;2029-01-06;1263,5;SuperNorte;2023-01-07;Padaria Industrial;bakery supplies;22,0;padaria
498;640;2029-04-23;1663,87;BomPreco;2023-08-24;Casa Verde Horticolas;produce;;talho
220;662;2032-01-01;1658,71;Atlantico Market;2024-11-09;Frutaria Atlantica;produce;;padaria
39;612;2024-07-11;1195,22;SuperNorte;2022-08-08;Frutaria Atlantica;produce;;talho
249;153;2024-09-09;2735,29;SuperNorte;2023-09-28;Bebidas Lusas;beverages;27,0;laticinios
112;785;2025-09-07;1340,3;Atlantico Market;2022-05-22;Higiene Plus;cleaning products;40,0;padaria
361;378;2024-11-18;7102,63;FreshMart Gaia;2023-03-12;Peixe Fresco Iberico;seafood;;mercearia
54;778;2025-05-13;8950,03;BomPreco;2021-08-12;Peixe Fresco Iberico;seafood;;bebidas
93;998;2026-01-23;8548,79;SuperNorte;2023-02-02;Peixe Fresco Iberico;seafood;102,0;mercearia
498;245;2025-02-08;2500,0;BomPreco;2023-08-24;Higiene Plus;cleaning products;;fruta e legumes
